cell_set_accession	cell_label	cell_fullname	parent_cell_set_accession	parent_cell_set_name	labelset	cell_ontology_term_id	cell_ontology_term	rationale	rationale_dois	marker_gene_evidence	synonyms	cluster_size	NSF_marker_count	NSForest_markers	binary_genes	donor_composition	donor_composition_alert_0.90	library_composition_alert_0.95	library_composition_over0.01	dominant_library_percentage	dominant_library_info	roi_composition	roi_composition_alert_0.95	cluster_median_level1.class_scANVI_AIT11.6_round1_entropy	cluster_median_level2.neighborhood_scANVI_AIT11.6_round1_entropy	cluster_median_level1.class_scANVI_AIT11.6_round2_entropy	cluster_median_level2.neighborhood_scANVI_AIT11.6_round2_entropy	cluster_median_level3.subclass_scANVI_AIT11.6_round2_entropy	cluster_median_doublet_score	cluster_median_pct_counts_mt	gene_counts	umi_counts	umi_gene_ratio
AIT117_12	IN_12		AIT117_318	SN STH GATA3 TCF7L2 GABA	cluster							331	3	['GATA3', 'LHX1-DT', 'PDE11A']	['GATA3', 'LHX1', 'LHX5-AS1', 'LHX1-DT', 'CORIN', 'PDE11A', 'LINC01630', 'ID4', 'ST8SIA6', 'TCERG1L']	H20.30.002(0.9003)| H20.30.001(0.0634)| H23.30.001(0.0211)| H19.30.004(0.0121)| H18.30.001(0.003)	Cautious	Balanced	1169_A01 (0.6284)|1458_A09 (0.2719)|1001_A06 (0.0574)|1468_A09 (0.0121)	0.6284	1169_A01 (0.6284)|a total of 7392 cells in this dominant library	STH(0.9154)| SN-VTA(0.0574)| GPi(0.0181)| SN(0.006)| GPe(0.003)| CaT(0.0)| CaB(0.0)| GPeR(0.0)| GPeC(0.0)| CaH(0.0)| NAC(0.0)| PuPV(0.0)| PuC(0.0)| Pu(0.0)| PuR(0.0)	Balanced	0	0.5	0	0.58	0.58	0.12	0.2575	6981	30378	4.35
AIT117_13	IN_13		AIT117_313	SN STH GABA	cluster							101	2	['LINC01210', 'NPFFR2']	['LINC02315', 'LINC01568', 'LINC01210', 'GATA3', 'AC018467.1', 'NPFFR2', 'AC083870.1', 'CPED1', 'AC019211.1', 'NRP1']	H20.30.002(0.8911)| H19.30.004(0.0495)| H23.30.001(0.0396)| H20.30.001(0.0198)| H18.30.001(0.0)	Balanced	Balanced	1169_A01 (0.6436)|1458_A09 (0.2475)|1468_A09 (0.0396)|2013_B01 (0.0297)|1233_A02 (0.0198)	0.6436	1169_A01 (0.6436)|a total of 7392 cells in this dominant library	STH(0.9406)| GPi(0.0396)| SN(0.0198)| CaT(0.0)| GPe(0.0)| CaH(0.0)| CaB(0.0)| GPeR(0.0)| GPeC(0.0)| NAC(0.0)| Pu(0.0)| PuPV(0.0)| PuC(0.0)| PuR(0.0)| SN-VTA(0.0)	Balanced	0	0.64	0	0.58	0.58	0.1029	0.2226	5694	18932	3.32
AIT117_14	IN_14		AIT117_319	SN PVALB GATA3 GABA	cluster							78	3	['LINC01060', 'ST8SIA6-AS1', 'PNOC']	['LINC01060', 'ST8SIA6-AS1', 'LINC01202', 'GATA2-AS1', 'PNOC', 'PVALB', 'GATA3', 'LHX1', 'SLC30A3', 'COBLL1']	H18.30.001(0.3846)| H19.30.004(0.3846)| H20.30.002(0.1795)| H23.30.001(0.0385)| H20.30.001(0.0128)	Balanced	Balanced	1468_A09 (0.3846)|925_F03 (0.3846)|1458_A09 (0.1410)|1169_A01 (0.0385)|2058_C03 (0.0256)|2012_A05 (0.0128)|1233_A02 (0.0128)	0.3846	925_F03 (0.3846)|a total of 3479 cells in this dominant library	STH(0.5641)| SN(0.4231)| GPe(0.0128)| CaT(0.0)| GPeC(0.0)| CaH(0.0)| CaB(0.0)| GPi(0.0)| GPeR(0.0)| NAC(0.0)| Pu(0.0)| PuPV(0.0)| PuC(0.0)| PuR(0.0)| SN-VTA(0.0)	Balanced	0	0.32	0	0.39	0.49	0.1384	0.1926	9454	58788	6.22
AIT117_15	IN_15		AIT117_313	SN STH GABA	cluster							113	4	['AL354771.1', 'SLC5A8', 'KAZN-AS1', 'AP003464.1']	['AC119868.2', 'AL354771.1', 'SLC5A8', 'AC139720.1', 'KAZN-AS1', 'AP003464.1', 'AC117461.1', 'KLHL1', 'PCDH11Y', 'RMST']	H20.30.001(0.7168)| H23.30.001(0.1504)| H20.30.002(0.1239)| H19.30.004(0.0088)| H18.30.001(0.0)	Balanced	Balanced	1233_A02 (0.6637)|1169_A01 (0.1239)|2058_C03 (0.0708)|960_B03 (0.0442)|2013_B01 (0.0354)|2058_B03 (0.0354)	0.6637	1233_A02 (0.6637)|a total of 4017 cells in this dominant library	SN(0.7345)| STH(0.1681)| GPi(0.0442)| GPeR(0.0442)| SN-VTA(0.0088)| CaT(0.0)| CaB(0.0)| GPe(0.0)| GPeC(0.0)| CaH(0.0)| NAC(0.0)| PuPV(0.0)| PuC(0.0)| Pu(0.0)| PuR(0.0)	Balanced	0	0.5	0	0.58	0.58	0.1039	0.0282	4201	11695	2.78
AIT117_16	IN_16		AIT117_314	SN STH VTA Glut	cluster							251	4	['PANCR', 'EBF3', 'PITX2', 'LMX1A']	['PANCR', 'AC009975.1', 'EBF3', 'PITX2', 'LMX1B', 'LMX1A', 'TTC6', 'CDH23', 'DIRAS3', 'NDST4']	H20.30.002(0.749)| H19.30.004(0.1873)| H23.30.001(0.0598)| H20.30.001(0.004)| H18.30.001(0.0)	Balanced	Balanced	1169_A01 (0.7012)|1468_A09 (0.1833)|1458_A09 (0.0478)|2058_B03 (0.0359)|2058_C03 (0.0239)	0.7012	1169_A01 (0.7012)|a total of 7392 cells in this dominant library	STH(0.9721)| SN(0.0279)| CaB(0.0)| GPe(0.0)| GPeC(0.0)| CaH(0.0)| CaT(0.0)| GPi(0.0)| GPeR(0.0)| NAC(0.0)| Pu(0.0)| PuPV(0.0)| PuC(0.0)| PuR(0.0)| SN-VTA(0.0)	Cautious	0	0	0	0	0	0.11	0.1589	6387	25200	3.95
AIT117_17	IN_17		AIT117_314	SN STH VTA Glut	cluster							93	4	['AC079148.3', 'FAM9B', 'KCNS3', 'ANGPT1']	['AC079148.3', 'AC007091.1', 'LMX1B', 'FAM9B', 'KCNS3', 'ANGPT1', 'SLC17A6', 'CRNDE', 'LPAR1', 'KCNH8']	H20.30.002(0.7527)| H19.30.004(0.2366)| H23.30.001(0.0108)| H18.30.001(0.0)| H20.30.001(0.0)	Balanced	Balanced	1169_A01 (0.6237)|1468_A09 (0.2366)|1458_A09 (0.1290)|2058_B03 (0.0108)	0.6237	1169_A01 (0.6237)|a total of 7392 cells in this dominant library	STH(1.0)| CaH(0.0)| CaB(0.0)| GPe(0.0)| GPeC(0.0)| GPeR(0.0)| CaT(0.0)| GPi(0.0)| NAC(0.0)| PuC(0.0)| Pu(0.0)| PuPV(0.0)| PuR(0.0)| SN(0.0)| SN-VTA(0.0)	Cautious	0	0	0	0	0	0.0784	0.1572	5642	19087	3.38
AIT117_18	IN_18		AIT117_314	SN STH VTA Glut	cluster							98	3	['ANGPT1', 'CRNDE', 'SEMA3E']	['LMX1B', 'LMX1A', 'SLITRK6', 'ANGPT1', 'CRNDE', 'SEMA3E', 'GABRG1', 'SPHKAP', 'COL21A1', 'KLHL1']	H20.30.002(0.8571)| H23.30.001(0.0714)| H19.30.004(0.0714)| H18.30.001(0.0)| H20.30.001(0.0)	Balanced	Balanced	1169_A01 (0.8571)|2058_B03 (0.0714)|1468_A09 (0.0510)|1279_A07 (0.0204)	0.8571	1169_A01 (0.8571)|a total of 7392 cells in this dominant library	STH(1.0)| CaH(0.0)| CaB(0.0)| GPe(0.0)| GPeC(0.0)| GPeR(0.0)| CaT(0.0)| GPi(0.0)| NAC(0.0)| PuC(0.0)| Pu(0.0)| PuPV(0.0)| PuR(0.0)| SN(0.0)| SN-VTA(0.0)	Cautious	0	0	0	0	0	0.08	0.1668	5531.5	17929.5	3.24
AIT117_19	IN_19		AIT117_314	SN STH VTA Glut	cluster							233	2	['LMX1A', 'ADAMTSL1']	['HPGD', 'ADCYAP1', 'LMX1A', 'AP000829.1', 'AL356295.1', 'ADAMTSL1', 'CRNDE', 'POU6F2', 'BMPR1B', 'AC007368.1']	H20.30.002(0.9013)| H19.30.004(0.0815)| H23.30.001(0.0172)| H18.30.001(0.0)| H20.30.001(0.0)	Cautious	Balanced	1169_A01 (0.8541)|1468_A09 (0.0815)|1458_A09 (0.0472)|2013_B01 (0.0129)	0.8541	1169_A01 (0.8541)|a total of 7392 cells in this dominant library	STH(0.9871)| GPi(0.0129)| CaH(0.0)| CaT(0.0)| GPe(0.0)| GPeC(0.0)| CaB(0.0)| GPeR(0.0)| NAC(0.0)| PuC(0.0)| Pu(0.0)| PuPV(0.0)| PuR(0.0)| SN(0.0)| SN-VTA(0.0)	Cautious	0	0	0	0	0	0.11	0.181	5788	19670	3.4
AIT117_23	IN_23		AIT117_320	TH MEIS2 OTX2 GABA	cluster							1497	2	['NPSR1', 'OTX2-AS1']	['CASR', 'NPSR1', 'OTX2', 'OTX2-AS1', 'LINC01210', 'LINC02253', 'AL390957.1', 'SPHKAP', 'CHRM2', 'GALNT14']	H20.30.002(0.5337)| H20.30.001(0.191)| H23.30.001(0.1349)| H19.30.004(0.0915)| H18.30.001(0.0488)	Balanced	Balanced	1169_A01 (0.5077)|1001_A06 (0.1102)|1233_A02 (0.0655)|925_F03 (0.0414)|1468_A09 (0.0387)|2058_B03 (0.0321)|1279_B07 (0.0294)|2016_A03 (0.0274)|2013_B01 (0.0267)|1279_A07 (0.0234)|2012_B05 (0.0187)|1458_A09 (0.0147)	0.5077	1169_A01 (0.5077)|a total of 7392 cells in this dominant library	STH(0.6506)| SN-VTA(0.1202)| SN(0.1169)| GPi(0.0888)| GPe(0.012)| CaT(0.004)| GPeR(0.0033)| PuPV(0.002)| NAC(0.0013)| CaB(0.0007)| CaH(0.0)| GPeC(0.0)| Pu(0.0)| PuC(0.0)| PuR(0.0)	Balanced	0	0	0	0	0	0.06	0.233	4815	16535	3.43
AIT117_24	IN_24		AIT117_320	TH MEIS2 OTX2 GABA	cluster							201	4	['DMBX1', 'CPLX3', 'OTX2', 'GATA3']	['DMBX1', 'CPLX3', 'OTX2', 'GATA3', 'GNG3', 'SEMA3C', 'NR2F2', 'TUBB', 'HMGCS1', 'H3F3B']	H20.30.001(0.3881)| H19.30.004(0.3682)| H20.30.002(0.1891)| H23.30.001(0.0299)| H18.30.001(0.0249)	Balanced	Balanced	1001_A06 (0.3831)|1468_A09 (0.2935)|1169_A01 (0.1244)|1279_B07 (0.0398)|1001_B06 (0.0398)|1279_A07 (0.0348)|1458_A09 (0.0249)|925_F03 (0.0149)	0.3831	1001_A06 (0.3831)|a total of 3218 cells in this dominant library	STH(0.5373)| SN-VTA(0.4229)| GPi(0.0199)| SN(0.0199)| CaT(0.0)| CaH(0.0)| CaB(0.0)| GPeR(0.0)| GPeC(0.0)| GPe(0.0)| NAC(0.0)| PuPV(0.0)| PuC(0.0)| Pu(0.0)| PuR(0.0)	Balanced	0	0	0	0	0	0.0784	0.7517	5780	19806	3.43
AIT117_25	IN_25		AIT117_320	TH MEIS2 OTX2 GABA	cluster							446	3	['LINC01210', 'TSPAN18', 'SEMA3C']	['OTX2-AS1', 'LINC01210', 'TSPAN18', 'LINC02055', 'PRSS12', 'SEMA3C', 'CRNDE', 'SPHKAP', 'GALNT14', 'EPB41L4A']	H23.30.001(0.3341)| H20.30.002(0.3229)| H20.30.001(0.1906)| H19.30.004(0.1435)| H18.30.001(0.009)	Balanced	Balanced	1169_A01 (0.2960)|2013_B01 (0.1413)|1001_A06 (0.1143)|1468_A09 (0.1099)|2058_B03 (0.0987)|2058_C03 (0.0426)|1482_A03 (0.0381)|1233_A02 (0.0314)|1279_B07 (0.0224)|1458_A09 (0.0179)|2016_A03 (0.0157)|2012_B05 (0.0157)|1279_A07 (0.0112)	0.296	1169_A01 (0.296)|a total of 7392 cells in this dominant library	STH(0.5583)| GPi(0.2242)| SN-VTA(0.1233)| SN(0.0807)| GPe(0.0045)| CaB(0.0045)| GPeR(0.0022)| CaT(0.0022)| CaH(0.0)| GPeC(0.0)| NAC(0.0)| PuPV(0.0)| PuC(0.0)| Pu(0.0)| PuR(0.0)	Balanced	0	0	0	0	0	0.0588	0.1411	5192.5	19242	3.71
AIT117_26	IN_26		AIT117_320	TH MEIS2 OTX2 GABA	cluster							164	3	['OTX2-AS1', 'MOBP', 'RNF220']	['OTX2-AS1', 'MOBP', 'TF', 'SPHKAP', 'RNF220', 'AC079352.1', 'ST18', 'TMEM144', 'DOCK5', 'PLP1']	H23.30.001(0.5122)| H20.30.002(0.2195)| H20.30.001(0.1768)| H18.30.001(0.0488)| H19.30.004(0.0427)	Balanced	Balanced	2058_C03 (0.2500)|1169_A01 (0.1951)|2016_A03 (0.1341)|994_C03 (0.1037)|2058_B03 (0.0427)|1233_A02 (0.0366)|2013_B01 (0.0305)|1468_A09 (0.0305)|1001_A06 (0.0244)|2012_B05 (0.0244)|1075_B04 (0.0183)|925_F03 (0.0183)|2018_D01 (0.0122)|2013_C01 (0.0122)|1001_B06 (0.0122)	0.25	2058_C03 (0.25)|a total of 4967 cells in this dominant library	GPi(0.3232)| SN(0.3049)| STH(0.3049)| SN-VTA(0.0366)| CaB(0.0122)| GPe(0.0061)| CaT(0.0061)| PuPV(0.0061)| GPeR(0.0)| CaH(0.0)| GPeC(0.0)| PuC(0.0)| Pu(0.0)| NAC(0.0)| PuR(0.0)	Balanced	0	0	0	0	0	0.1206	0.0838	4140.5	11503	2.78
AIT117_27	IN_27		AIT117_320	TH MEIS2 OTX2 GABA	cluster							289	2	['PRSS12', 'HHIP']	['OTX2-AS1', 'LINC01210', 'PRSS12', 'GLYATL2', 'HHIP', 'GREM2', 'GRIK1', 'VWC2L', 'CADPS2', 'UNC13C']	H20.30.002(0.4637)| H19.30.004(0.2249)| H20.30.001(0.1696)| H23.30.001(0.1107)| H18.30.001(0.0311)	Balanced	Balanced	1169_A01 (0.4256)|1468_A09 (0.1938)|1001_A06 (0.1384)|2058_C03 (0.0381)|1001_B06 (0.0346)|925_F03 (0.0277)|2013_B01 (0.0277)|1482_A03 (0.0242)|1279_A07 (0.0208)|2058_B03 (0.0208)|2016_A03 (0.0104)|2012_B05 (0.0104)|1279_B07 (0.0104)	0.4256	1169_A01 (0.4256)|a total of 7392 cells in this dominant library	STH(0.6782)| SN-VTA(0.173)| GPi(0.0761)| SN(0.0727)| CaT(0.0)| CaH(0.0)| CaB(0.0)| GPeR(0.0)| GPeC(0.0)| GPe(0.0)| NAC(0.0)| PuPV(0.0)| PuC(0.0)| Pu(0.0)| PuR(0.0)	Balanced	0	0	0	0	0	0.0588	0.226	4054	11636	2.87
AIT117_29	IN_29		AIT117_314	SN STH VTA Glut	cluster							111	2	['PAX7', 'FBN2']	['PAX7', 'SIM1', 'AC079148.3', 'BDNF', 'KCNS3', 'FBN2', 'STK32B', 'SLC27A6', 'LINC00299', 'RMST']	H20.30.002(0.982)| H19.30.004(0.018)| H18.30.001(0.0)| H20.30.001(0.0)| H23.30.001(0.0)	Cautious	Balanced	1169_A01 (0.9369)|1458_A09 (0.0450)|1468_A09 (0.0180)	0.9369	1169_A01 (0.9369)|a total of 7392 cells in this dominant library	STH(1.0)| CaH(0.0)| CaB(0.0)| GPe(0.0)| GPeC(0.0)| GPeR(0.0)| CaT(0.0)| GPi(0.0)| NAC(0.0)| PuC(0.0)| Pu(0.0)| PuPV(0.0)| PuR(0.0)| SN(0.0)| SN-VTA(0.0)	Cautious	0	0	0	0	0	0.12	0.1946	5788	18890	3.26
AIT117_31	IN_31		AIT117_314	SN STH VTA Glut	cluster							372	3	['SIM1', 'AL110292.1', 'SLC17A6']	['SIM1', 'AC092640.1', 'AL110292.1', 'AP000829.1', 'SLC17A6', 'LINC00923', 'LINC00299', 'KCNH5', 'SCN7A', 'RMST']	H20.30.002(0.7957)| H23.30.001(0.1694)| H19.30.004(0.0323)| H20.30.001(0.0027)| H18.30.001(0.0)	Balanced	Balanced	1169_A01 (0.7769)|2058_C03 (0.0806)|2058_B03 (0.0699)|1468_A09 (0.0296)|1458_A09 (0.0188)|2013_B01 (0.0108)	0.7769	1169_A01 (0.7769)|a total of 7392 cells in this dominant library	STH(0.8978)| SN(0.0806)| GPi(0.0161)| GPe(0.0027)| SN-VTA(0.0027)| CaT(0.0)| CaB(0.0)| GPeR(0.0)| GPeC(0.0)| CaH(0.0)| NAC(0.0)| PuPV(0.0)| PuC(0.0)| Pu(0.0)| PuR(0.0)	Balanced	0	0.24	0	0.24	0.24	0.1	0.1276	5943.5	20476	3.45
